date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:53:21	135533/135533	------	200	untouched ('OK')	text/html	date:Tue,%2005%20Mar%202024%2018:42:52%20GMT	https://Erica itz ou.store/	F:/Develop/My%20Websites/Erica itz ou/Erica itz ou.store/index.html	(from )
08:53:21	111/111	------	200	untouched ('OK')	text/plain	date:Tue,%2005%20Mar%202024%2017:15:32%20GMT	https://Erica itz ou.store/robots.txt		(from )
08:53:21	42/42	------	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2005%20Mar%202024%2018:42:52%20GMT	https://Erica itz ou.store/xmlrpc.php	F:/Develop/My%20Websites/Erica itz ou/Erica itz ou.store/xmlrpc.0.delayed	(from https://Erica itz ou.store/)
08:53:21	86299/86299	------	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Mar%202024%2018:43:07%20GMT	https://Erica itz ou.store/home/runcloud/webapps/wpsupover/wp-content/fonts/poppins/pxiByp8kv8JHgFVrLDz8Z11lE92JQEl8qw.woff	F:/Develop/My%20Websites/Erica itz ou/Erica itz ou.store/home/runcloud/webapps/wpsupover/wp-content/fonts/poppins/pxiByp8kv8JHgFVrLDz8Z11lE92JQEl8qw.1a.delayed	(from https://Erica itz ou.store/)
08:53:21	34257/34257	------	200	untouched ('')	text/javascript	etag:W/%22b53770719042deb2683a190c842bf26e%22	https://cdn.judge.me/shopify_v2/leex.js	F:/Develop/My%20Websites/Erica itz ou/cdn.judge.me/shopify_v2/leex.js	(from https://Erica itz ou.store/)
08:53:21	2291/2291	------	200	untouched ('OK')	text/css	etag:W/%22925aa0357822fbd5f8040e0a2be81081%22	https://cdn.judge.me/widget_v3/theme/leex.css	F:/Develop/My%20Websites/Erica itz ou/cdn.judge.me/widget_v3/theme/leex.css	(from https://Erica itz ou.store/)
08:53:21	4052/4052	------	200	untouched ('')	text/javascript	etag:W/%22a9a1a3f89141be1cf8c19b5436e3a221%22	https://cdn.judge.me/loader.js	F:/Develop/My%20Websites/Erica itz ou/cdn.judge.me/loader.js	(from https://Erica itz ou.store/)
08:53:21	65457/65457	------	200	untouched ('OK')	text/css	etag:W/%227eb98498975813fb2415c39450da43da%22	https://cdn.judge.me/shopify_v2.css	F:/Develop/My%20Websites/Erica itz ou/cdn.judge.me/shopify_v2.css	(from https://Erica itz ou.store/)
08:53:21	86299/86299	------	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Mar%202024%2018:43:08%20GMT	https://Erica itz ou.store/home/runcloud/webapps/wpsupover/wp-content/fonts/poppins/pxiByp8kv8JHgFVrLDz8Z1JlE92JQEl8qw.woff	F:/Develop/My%20Websites/Erica itz ou/Erica itz ou.store/home/runcloud/webapps/wpsupover/wp-content/fonts/poppins/pxiByp8kv8JHgFVrLDz8Z1JlE92JQEl8qw.1b.delayed	(from https://Erica itz ou.store/)
08:53:21	2859/2859	------	200	untouched ('OK')	text/css	etag:W/%22640329cc-b2b%22	https://Erica itz ou.store/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.4	F:/Develop/My%20Websites/Erica itz ou/Erica itz ou.store/wp-content/plugins/contact-form-7/includes/css/styles4999.css	(from https://Erica itz ou.store/)
